192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/images/facebook.png, HTTP/1.1, 200, 0.002000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
192.168.1.104, 2013-10-29 18:58:38, GET, /PictureShop/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
192.168.1.104, 2013-10-29 18:59:00, GET, /admin/default/index, HTTP/1.1, 303, 0.027000
192.168.1.104, 2013-10-29 18:59:00, GET, /admin/default/site, HTTP/1.1, 200, 0.080000
192.168.1.104, 2013-10-29 18:59:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:59:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 18:59:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:59:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:59:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 18:59:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 18:59:37, GET, /PictureShop/default/index, HTTP/1.1, 200, 0.699000
192.168.1.104, 2013-10-29 18:59:42, GET, /PictureShop/default/index, HTTP/1.1, 200, 0.155000
192.168.1.104, 2013-10-29 18:59:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 19:00:49, GET, /PictureShop/default/index, HTTP/1.1, 200, 0.602000
192.168.1.104, 2013-10-29 19:00:51, GET, /admin/default/site, HTTP/1.1, 200, 0.082000
192.168.1.104, 2013-10-29 19:00:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:00:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:00:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 19:00:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:00:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:00:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:00:55, GET, /admin/default/design/PictureShop, HTTP/1.1, 200, 0.217000
192.168.1.104, 2013-10-29 19:00:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:01:36, GET, /admin/default/edit/PictureShop/views/default/index.html, HTTP/1.1, 200, 0.155000
192.168.1.104, 2013-10-29 19:01:37, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
192.168.1.104, 2013-10-29 19:01:37, GET, /admin/default/edit/PictureShop/views/default/index.html, HTTP/1.1, 200, 0.512000
192.168.1.104, 2013-10-29 19:01:37, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.055000
192.168.1.104, 2013-10-29 19:02:57, GET, /admin/default/design/PictureShop, HTTP/1.1, 200, 0.158000
192.168.1.104, 2013-10-29 19:02:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:03:10, GET, /admin/default/peek/PictureShop/views/default/index.html, HTTP/1.1, 200, 0.071000
192.168.1.104, 2013-10-29 19:03:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:03:26, GET, /admin/default/edit/PictureShop/views/default/index.html, HTTP/1.1, 200, 0.088000
192.168.1.104, 2013-10-29 19:03:26, GET, /admin/default/edit/PictureShop/views/default/index.html, HTTP/1.1, 200, 0.077000
192.168.1.104, 2013-10-29 19:03:26, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.031000
192.168.1.104, 2013-10-29 19:03:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:04:35, GET, /admin/default/peek/PictureShop/views/default/index.html, HTTP/1.1, 200, 0.117000
192.168.1.104, 2013-10-29 19:04:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:04:36, GET, /admin/default/design/PictureShop, HTTP/1.1, 200, 0.467000
192.168.1.104, 2013-10-29 19:04:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:04:44, GET, /admin/default/edit/PictureShop/views/default/user.html, HTTP/1.1, 200, 0.090000
192.168.1.104, 2013-10-29 19:04:44, GET, /admin/default/edit/PictureShop/views/default/user.html, HTTP/1.1, 200, 0.087000
192.168.1.104, 2013-10-29 19:04:44, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 19:04:44, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.028000
192.168.1.104, 2013-10-29 19:04:50, GET, /admin/default/design/PictureShop, HTTP/1.1, 200, 0.161000
192.168.1.104, 2013-10-29 19:04:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:06:21, GET, /admin/default/edit/PictureShop/views/default/index.html, HTTP/1.1, 200, 0.098000
192.168.1.104, 2013-10-29 19:06:21, GET, /admin/default/edit/PictureShop/views/default/index.html, HTTP/1.1, 200, 0.090000
192.168.1.104, 2013-10-29 19:06:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:06:21, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.029000
192.168.1.104, 2013-10-29 19:08:24, POST, /admin/default/edit/PictureShop/views/default/index.html, HTTP/1.1, 200, 0.069000
192.168.1.104, 2013-10-29 19:08:28, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/default/index, HTTP/1.1, 200, 0.132000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/js/jquery.js, HTTP/1.1, 304, 0.002000
